SUBURB_ID,LOCALITY_NAME,SUBURB_NAME,STATE,POSTCODE,LONGITUDE,LATITUDE;;;
143,Sydney,Cambridge;Park,NSW,2747,150.721436,-33.747681;;
144,Sydney,Casula,NSW,2170,150.903976,-33.949791;;;
145,Sydney,Camden,NSW,2570,150.693954,-34.056381;;;
147,Sydney,Camden;Park,NSW,2570,150.721176,-34.088379;;
148,Sydney,Cecil;Hills,NSW,2171,150.856323,-33.893959;;
149,Sydney,Camden;South,NSW,2570,150.694427,-34.07795;;
150,Sydney,Cecil;Park,NSW,2178,150.825027,-33.859982;;
151,Sydney,Centennial;Park,NSW,2021,151.230667,-33.89452;;
152,Sydney,Chatswood,NSW,2067,151.183853,-33.79607;;;
153,Sydney,Campbelltown,NSW,2560,150.816589,-34.064098;;;
154,Sydney,Chatswood;West,NSW,2067,151.176117,-33.795689;;
156,Sydney,Cheltenham,NSW,2119,151.079437,-33.755852;;;
157,Sydney,Cherrybrook,NSW,2126,151.041367,-33.721001;;;
158,Sydney,Chester;Hill,NSW,2162,151.000137,-33.882999;;
159,Sydney,Chifley,NSW,2036,151.241959,-33.966179;;;
160,Sydney,Chippendale,NSW,2008,151.198074,-33.888489;;;
161,Sydney,Chipping;Norton,NSW,2170,150.961731,-33.91716;;
162,Sydney,Caringbah,NSW,2229,151.121216,-34.042912;;;
163,Sydney,Chiswick,NSW,2046,151.138657,-33.84964;;;
164,Sydney,Chullora,NSW,2190,151.047623,-33.89328;;;
165,Sydney,Church;Point,NSW,2105,151.284454,-33.644852;;
166,Sydney,Clareville,NSW,2107,151.313324,-33.634899;;;
167,Sydney,Clemton;Park,NSW,2206,151.103851,-33.92519;;
168,Sydney,Clontarf,NSW,2093,151.253082,-33.799309;;;
169,Sydney,Clovelly,NSW,2031,151.262024,-33.91264;;;
171,Sydney,Clyde,NSW,2142,151.020279,-33.834202;;;
172,Sydney,Castlereagh,NSW,2749,150.686234,-33.695808;;;
175,Sydney,Catherine;Field,NSW,2557,150.758438,-33.978092;;
176,Sydney,Collaroy,NSW,2097,151.296059,-33.73461;;;
177,Sydney,Cattai,NSW,2756,150.908035,-33.558033;;;
179,Sydney,Cawdor,NSW,2570,150.672562,-34.093182;;;
180,Sydney,Collaroy;Plateau,NSW,2097,151.296059,-33.73461;;
181,Sydney,Concord,NSW,2137,151.103256,-33.856079;;;
182,Sydney,Concord;West,NSW,2138,151.089447,-33.846489;;
183,Sydney,Condell;Park,NSW,2200,151.011627,-33.922031;;
184,Sydney,Central;Macdonald,NSW,2775,150.929871,-33.883875;;
185,Sydney,Connells;Point,NSW,2221,151.097946,-33.985439;;
186,Sydney,Constitution;Hill,NSW,2145,151.136246,-33.901409;;
187,Sydney,Coogee,NSW,2034,151.256012,-33.920731;;;
188,Sydney,Cottage;Point,NSW,2084,151.203827,-33.631676;;
189,Sydney,Cowan,NSW,2081,151.202423,-33.618263;;;
190,Sydney,Cremorne,NSW,2090,151.227356,-33.829849;;;
192,Sydney,Cremorne;Point,NSW,2090,151.227539,-33.83987;;
193,Sydney,Cromer,NSW,2099,151.278519,-33.740349;;;
194,Sydney,Crows;Nest,NSW,2065,151.200882,-33.825161;;
195,Sydney,Croydon,NSW,2132,151.113861,-33.87611;;;
196,Sydney,Croydon;Park,NSW,2133,151.108582,-33.895302;;
197,Sydney,Claremont;Meadows,NSW,2747,150.752213,-33.770241;;
198,Sydney,Curl;Curl,NSW,2096,151.294296,-33.768459;;
199,Sydney,Clarendon,NSW,2756,150.769928,-33.596622;;;
200,Sydney,Daceyville,NSW,2032,151.227295,-33.92598;;;
201,Sydney,Dangar;Island,NSW,2083,151.195114,-33.866215;;
202,Sydney,Claymore,NSW,2559,150.814148,-34.044941;;;
203,Sydney,Darling;Point,NSW,2027,151.236679,-33.87381;;
204,Sydney,Darlinghurst,NSW,2010,151.220184,-33.879162;;;
205,Sydney,Clifton;Gardens,NSW,2088,151.247833,-33.8395;;
206,Sydney,Darlington,NSW,2008,151.193314,-33.89193;;;
207,Sydney,Davidson,NSW,2085,151.196304,-33.739792;;;
208,Sydney,Dawes;Point,NSW,2000,151.208252,-33.855511;;
209,Sydney,Dee;Why,NSW,2099,151.285233,-33.75375;;
210,Sydney,Cobbitty,NSW,2570,150.657883,-34.022839;;;
211,Sydney,Denistone,NSW,2114,151.088333,-33.796509;;;
212,Sydney,Colebee,NSW,2761,150.865448,-33.72855;;;
213,Sydney,Denistone;East,NSW,2112,151.097534,-33.794651;;
214,Sydney,Denistone;West,NSW,2114,151.075134,-33.801338;;
215,Sydney,Dolls;Point,NSW,2219,151.143173,-33.994259;;
216,Sydney,Colyton,NSW,2760,150.793427,-33.776661;;;
217,Sydney,Double;Bay,NSW,2028,151.244003,-33.877312;;
218,Sydney,Comleroy,NSW,2758,151.229584,-33.741344;;;
219,Sydney,Dover;Heights,NSW,2030,151.280884,-33.87188;;
220,Sydney,Como,NSW,2226,151.061646,-34.00539;;;
221,Sydney,Drummoyne,NSW,2047,151.157669,-33.85445;;;
222,Sydney,Duffys;Forest,NSW,2084,151.198563,-33.67609;;
223,Sydney,Dulwich;Hill,NSW,2203,151.142502,-33.90337;;
224,Sydney,Dundas,NSW,2117,151.046432,-33.802319;;;
225,Sydney,Dundas;Valley,NSW,2117,151.056671,-33.79089;;
226,Sydney,Dural,NSW,2158,151.010223,-33.665421;;;
227,Sydney,Earlwood,NSW,2206,151.124939,-33.926922;;;
228,Sydney,Cornwallis,NSW,2756,150.802094,-33.583912;;;
229,Sydney,East;Hills,NSW,2213,150.984375,-33.962502;;
230,Sydney,East;Killara,NSW,2071,151.174805,-33.75523;;
231,Sydney,Couridjah,NSW,2571,150.580818,-34.243176;;;
232,Sydney,East;Lindfield,NSW,2070,151.186386,-33.76894;;
233,Sydney,East;Ryde,NSW,2113,151.138382,-33.807961;;
234,Sydney,Cranebrook,NSW,2749,150.710037,-33.719452;;;
235,Sydney,Eastgardens,NSW,2036,151.222443,-33.943871;;;
236,Sydney,Eastlakes,NSW,2018,151.211075,-33.923988;;;
237,Sydney,Eastwood,NSW,2122,151.080414,-33.791489;;;
238,Sydney,Edensor;Park,NSW,2176,150.872543,-33.87788;;
239,Sydney,Cronulla,NSW,2230,151.153366,-34.055229;;;
240,Sydney,Edgecliff,NSW,2027,151.237793,-33.880379;;;
241,Sydney,Edmondson;Park,NSW,2174,150.858337,-33.960745;;
242,Sydney,Elanora;Heights,NSW,2101,151.279678,-33.701031;;
243,Sydney,Elizabeth;Bay,NSW,2011,151.225372,-33.870331;;
245,Sydney,Currans;Hill,NSW,2567,150.763947,-34.045189;;
247,Sydney,Enfield,NSW,2136,151.095367,-33.88834;;;
249,Sydney,Darling;Harbour,NSW,2000,151.198242,-33.872601;;
250,Sydney,Enmore,NSW,2042,151.171173,-33.899288;;;
